Sr. No,Symbol,Company Name,"Market capitalization as on December 31, 2023
(In Lakhs)"
41,TATASTEEL,Tata Steel Limited,17167076.782844
42,VBL,Varun Beverages Limited,16069990.038144
43,JIOFIN,Jio Financial Services Limited,14799975.515946
44,SBILIFE,SBI Life Insurance Company Limited,14343767.148178
45,SIEMENS,Siemens Limited,14332771.902985
46,GRASIM,Grasim Industries Limited,14056564.790268
47,HDFCLIFE,HDFC Life Insurance Company Limited,13908315.736672
48,HINDALCO,Hindalco Industries Limited,13817010.7916655
49,PIDILITIND,Pidilite Industries Limited,13809215.53649
50,BEL,Bharat Electronics Limited,13464612.603018
51,HINDZINC,Hindustan Zinc Limited,13438627.0795
52,IRFC,Indian Railway Finance Corporation Limited,12983560.711
53,BRITANNIA,Britannia Industries Limited,12858633.547812
54,PFC,Power Finance Corporation Limited,12626189.33376
55,INDUSINDBK,IndusInd Bank Limited,12435548.724088999
56,TECHM,Tech Mahindra Limited,12421247.987010501
57,BANKBARODA,Bank of Baroda,11951017.995669
58,ADANIENSOL,Adani Energy Solutions Limited,11665264.7324725
59,GODREJCP,Godrej Consumer Products Limited,11570143.561648
60,INDIGO,InterGlobe Aviation Limited,11451378.189598
61,EICHERMOT,Eicher Motors Limited,11343887.8425
62,RECLTD,REC Limited,10871265.284
63,ATGL,Adani Total Gas Limited,10865573.7149985
64,TRENT,Trent Limited,10859964.1898195
65,ZOMATO,Zomato Limited,10775402.675131
66,GAIL,GAIL (India) Limited,10658236.522924
67,TATAPOWER,Tata Power Company Limited,10613320.3053605
68,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,10577709.88788
69,PNB,Punjab National Bank,10543047.396785
70,DIVISLAB,Divi's Laboratories Limited,10363627.89462
71,AMBUJACEM,Ambuja Cements Limited,10343225.997861
72,SHREECEM,SHREE CEMENT LIMITED,10338324.966684
73,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,10096498.6122
74,CIPLA,Cipla Limited,10062008.010274
75,ABB,ABB India Limited,9906398.6686875
76,DABUR,Dabur India Limited,9873789.66252
77,LODHA,Macrotech Developers Limited,9871487.5541755
78,BPCL,Bharat Petroleum Corporation Limited,9775737.490836
79,DRREDDY,Dr. Reddy's Laboratories Limited,9671442.028663
80,TVSMOTOR,TVS Motor Company Limited,9624314.755412
81,VEDL,Vedanta Limited,9610836.730934499
82,UNIONBANK,Union Bank of India,8828225.826446999
83,HAVELLS,Havells India Limited,8572710.508885
84,BAJAJHLDNG,Bajaj Holdings & Investment Limited,8541331.71846
85,HEROMOTOCO,Hero MotoCorp Limited,8274428.6420115
86,POLYCAB,Polycab India Limited,8236220.5161075
87,APOLLOHOSP,Apollo Hospitals Enterprise Limited,8201620.619937
88,IOB,Indian Overseas Bank,8184744.506848001
89,MCDOWELL-N,United Spirits Limited,8129964.1594075
90,MANKIND,Mankind Pharma Limited,7941665.823
91,CANBK,Canara Bank,7936819.8525
92,TORNTPHARM,Torrent Pharmaceuticals Limited,7803028.84192
93,IDEA,Vodafone Idea Limited,7788750.2728
94,SHRIRAMFIN,Shriram Finance Limited,7710994.5024190005
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,7702120.5341735
96,JINDALSTEL,Jindal Steel & Power Limited,7631279.053657
97,SRF,SRF Limited,7349112.4738125
98,IDBI,IDBI Bank Limited,7247119.06595
99,SBICARD,SBI Cards and Payment Services Limited,7221762.1405585
100,IRCTC,Indian Railway Catering And Tourism Corporation Limited,7100000
101,MARICO,Marico Limited,7096677.33988
102,BERGEPAINT,Berger Paints (I) Limited,7048447.266663001
103,ICICIGI,ICICI Lombard General Insurance Company Limited,6989615.652393
104,ZYDUSLIFE,Zydus Lifesciences Limited,6976110.925988001
105,CGPOWER,CG Power and Industrial Solutions Limited,6939976.651136
106,MOTHERSON,Samvardhana Motherson International Limited,6908561.582637
107,COLPAL,Colgate Palmolive (India) Limited,6880420.5832980005
108,TIINDIA,Tube Investments of India Limited,6848575.5525075
109,HDFCAMC,HDFC Asset Management Company Limited,6842162.2
110,BHEL,Bharat Heavy Electricals Limited,6739533.6236025
111,JSWENERGY,JSW Energy Limited,6727545.819954
112,MAXHEALTH,Max Healthcare Institute Limited,6669156.1651875
113,NAUKRI,Info Edge (India) Limited,6650537.84418
114,BOSCHLTD,Bosch Limited,6548708.83832
115,NHPC,NHPC Limited,6489092.48403
116,AUROPHARMA,Aurobindo Pharma Limited,6351574.52156
117,IDFCFIRSTB,IDFC First Bank Limited,6277712.785799
118,INDHOTEL,The Indian Hotels Company Limited,6226324.899157
119,ALKEM,Alkem Laboratories Limited,6220488.69
120,YESBANK,Yes Bank Limited,6168929.93574
121,NMDC,NMDC Limited,6144015.164525
122,SOLARINDS,Solar Industries India Limited,6087718.450125
123,LUPIN,Lupin Limited,6023238.655111
124,MUTHOOTFIN,Muthoot Finance Limited,5926725.059283
125,SUPREMEIND,Supreme Industries Limited,5770767.190665
126,BHARATFORG,Bharat Forge Limited,5765616.824371999
127,PATANJALI,Patanjali Foods Limited,5701418.93475
128,PERSISTENT,Persistent Systems Limited,5684295.95
129,INDIANB,Indian Bank,5669371.396029
130,HINDPETRO,Hindustan Petroleum Corporation Limited,5658589.348205
131,PGHH,Procter & Gamble Hygiene and Health Care Limited,5637147.644128
132,GODREJPROP,Godrej Properties Limited,5597911.051673001
133,LTTS,L&T Technology Services Limited,5555848.016604001
134,MRF,MRF Limited,5495641.2908275
135,TATAELXSI,Tata Elxsi Limited,5451337.03718
136,CUMMINSIND,Cummins India Limited,5444069.4
137,GICRE,General Insurance Corporation of India,5404429.2
138,INDUSTOWER,Indus Towers Limited,5364271.998975
139,PIIND,PI Industries Limited,5334257.310762
140,ASHOKLEY,Ashok Leyland Limited,5330539.069577999
141,AUBANK,AU Small Finance Bank Limited,5264624.100652
142,OBEROIRLTY,Oberoi Realty Limited,5248052.8877395
143,CONCOR,Container Corporation of India Limited,5237798.862582
144,FACT,Fertilizers and Chemicals Travancore Limited,5214105.966492
145,SUZLON,Suzlon Energy Limited,5186296.929224
146,MPHASIS,MphasiS Limited,5171663.0872725
147,BANKINDIA,Bank of India,5126304.017116
148,ASTRAL,Astral Limited,5124194.5101795
149,SAIL,Steel Authority of India Limited,5107394.519848499
150,TATACOMM,Tata Communications Limited,5045355
151,SCHAEFFLER,Schaeffler India Limited,5006406.5501
152,BALKRISIND,Balkrishna Industries Limited,4965448.683745
153,NYKAA,FSN E-Commerce Ventures Limited,4964808.9803725
154,GMRINFRA,GMR Airports Infrastructure Limited,4861953.9190125
155,LINDEINDIA,Linde India Limited,4810200.745646
156,TATATECH,Tata Technologies Limited,4787497.156795
157,UCOBANK,UCO Bank,4752493.37496
158,PRESTIGE,Prestige Estates Projects Limited,4725758.039005999
159,UBL,United Breweries Limited,4720028.517373499
160,JSL,Jindal Stainless Limited,4710869.277948
161,AWL,Adani Wilmar Limited,4612559.369145
162,MAZDOCK,Mazagon Dock Shipbuilders Limited,4600347.21
163,TORNTPOWER,Torrent Power Limited,4488239.837384
164,UPL,UPL Limited,4407943.3717725
165,JSWINFRA,JSW Infrastructure Limited,4374303.264061
166,CENTRALBK,Central Bank of India,4349150.655432
167,ABCAPITAL,Aditya Birla Capital Limited,4325673.687295999
168,PAGEIND,Page Industries Limited,4295663.608935
169,DALBHARAT,Dalmia Bharat Limited,4267083.655008
170,APLAPOLLO,APL Apollo Tubes Limited,4264805.399552
171,3MINDIA,3M India Limited,4202901.863905
172,ACC,ACC Limited,4152445.8530875
173,KPITTECH,KPIT Technologies Limited,4150126.037408
174,L&TFH,L&T Finance Holdings Limited,4105747.7497790004
175,FLUOROCHEM,Gujarat Fluorochemicals Limited,4063626.125
176,OIL,Oil India Limited,4035613.9294709996
177,PAYTM,One 97 Communications Limited,4033980.9551765
178,PHOENIXLTD,The Phoenix Mills Limited,4010390.1627955
179,UNOMINDA,UNO Minda Limited,3941110.7999009998
180,DIXON,Dixon Technologies (India) Limited,3927782.9826625
181,SUNDARMFIN,Sundaram Finance Limited,3897856.72038
182,BANDHANBNK,Bandhan Bank Limited,3888730.398422
183,COFORGE,Coforge Limited,3869387.155128
184,FEDERALBNK,The Federal Bank  Limited,3801009.227454
185,RVNL,Rail Vikas Nigam Limited,3785353.99155
186,SONACOMS,Sona BLW Precision Forgings Limited,3779617.46545
187,JUBLFOOD,Jubilant Foodworks Limited,3728455.3026
188,COROMANDEL,Coromandel International Limited,3684776.6057284996
189,THERMAX,Thermax Limited,3671801.3845
190,OFSS,Oracle Financial Services Software Limited,3649032.445616
191,KALYANKJIL,Kalyan Jewellers India Limited,3647417.874837
192,POLICYBZR,PB Fintech Limited,3580969.867311
193,SJVN,SJVN Limited,3574148.7116625
194,NLCINDIA,NLC India Limited,3514430.4855104997
195,AIAENG,AIA Engineering Limited,3479950.05115
196,NIACL,The New India Assurance Company Limited,3466568
197,METROBRAND,Metro Brands Limited,3458671.860518
198,M&MFIN,Mahindra & Mahindra Financial Services Limited,3418711.28864
199,DEEPAKNTR,Deepak Nitrite Limited,3384184.1332920003
200,POONAWALLA,Poonawalla Fincorp Limited,3348032.6443795003
201,PETRONET,Petronet LNG Limited,3339750.195932
202,ESCORTS,Escorts Kubota Limited,3296273.6238909997
203,MFSL,Max Financial Services Limited,3293430.2596529997
204,HONAUT,Honeywell Automation India Limited,3257835.97981
205,VOLTAS,Voltas Limited,3237210.85379
206,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,3215580.634371
207,MAHABANK,Bank of Maharashtra,3197240.1980084996
208,GUJGASLTD,Gujarat Gas Limited,3176920.426875
209,CRISIL,CRISIL Limited,3170754.2648375
210,GLAND,Gland Pharma Limited,3169688.508135
211,FORTIS,Fortis Healthcare Limited,3164784.556416
212,BDL,Bharat Dynamics Limited,3138416.484375
213,STARHEALTH,Star Health and Allied Insurance Company Limited,3124399.4557425
214,MANYAVAR,Vedant Fashions Limited,3078732.65739
215,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,3036122.2032959997
216,LLOYDSME,Lloyds Metals And Energy Limited,3027935.67156
217,BSE,BSE Limited,3006979.6861079996
218,BIOCON,Biocon Limited,2997297.9
219,LICHSGFIN,LIC Housing Finance Limited,2948887.743
220,KEI,KEI Industries Limited,2932350.4070909997
221,IGL,Indraprastha Gas Limited,2928453.3468
222,ANGELONE,Angel One Limited,2927791.8564
223,JKCEMENT,JK Cement Limited,2927114.5185075
224,ITI,ITI Limited,2926381.169679
225,PSB,Punjab & Sind Bank,2924614.8518805
226,APOLLOTYRE,Apollo Tyres Limited,2883675.845313
227,DELHIVERY,Delhivery Limited,2861153.1842625
228,IPCALAB,IPCA Laboratories Limited,2824108.502667
229,SYNGENE,Syngene International Limited,2819934.2175
230,KPRMILL,K.P.R. Mill Limited,2819281.872
231,TATACHEM,Tata Chemicals Limited,2812764.0653979997
232,SUNTV,Sun TV Network Limited,2806670.66364
233,NAM-INDIA,Nippon Life India Asset Management Limited,2806484.780749
234,IREDA,Indian Renewable Energy Development Agency Limited,2763022.117768
235,MSUMI,Motherson Sumi Wiring India Limited,2730034.14801
236,ENDURANCE,Endurance Technologies Limited,2719294.177536
237,EXIDEIND,Exide Industries Limited,2701725
238,KANSAINER,Kansai Nerolac Paints Limited,2693924.95035
239,AJANTPHARM,Ajanta Pharma Limited,2669679.7921575
240,HINDCOPPER,Hindustan Copper Limited,2646261.23073
241,ZEEL,Zee Entertainment Enterprises Limited,2638546.84674
242,SUNDRMFAST,Sundram Fasteners Limited,2624293.21293
243,GRINDWELL,Grindwell Norton Limited,2578779.52
244,MEDANTA,Global Health Limited,2574621.2344529997
245,360ONE,360 ONE WAM LIMITED,2543842.9356279997
246,CREDITACC,CREDITACCESS GRAMEEN LIMITED,2541324.5397585
247,CYIENT,Cyient Limited,2539983.7716715
248,HATSUN,Hatsun Agro Product Limited,2536323.153582
249,HUDCO,Housing & Urban Development Corporation Limited,2521393.05
250,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2518924.94544
251,IRB,IRB Infrastructure Developers Limited,2509204.5
252,GODREJIND,Godrej Industries Limited,2506488.913446
253,EMAMILTD,Emami Limited,2460768.75
254,NH,Narayana Hrudayalaya Ltd.,2456314.683678
255,TIMKEN,Timken India Limited,2446075.620313
256,APARINDS,Apar Industries Limited,2431548.78021
257,NATIONALUM,National Aluminium Company Limited,2423435.6429465
258,RAMCOCEM,The Ramco Cements Limited,2411009.29933
259,GLENMARK,Glenmark Pharmaceuticals Limited,2409574.968162
260,RATNAMANI,Ratnamani Metals & Tubes Limited,2357369.19
261,AARTIIND,Aarti Industries Limited,2354826.21136
262,DEVYANI,Devyani International Limited,2336351.576125
263,MRPL,Mangalore Refinery and Petrochemicals Limited,2333585.2715755
264,ISEC,ICICI Securities Limited,2320496.5892
265,LAURUSLABS,Laurus Labs Limited,2317276.27935
266,IIFL,IIFL Finance Limited,2280873.4456725
267,SKFINDIA,SKF India Limited,2274195.735963
268,RELAXO,Relaxo Footwears Limited,2249160.12451
269,KIOCL,KIOCL Limited,2237435.659924
270,POWERINDIA,Hitachi Energy India Limited,2231119.7078625
271,RADICO,Radico Khaitan Limited,2217206.3267475
272,TATAINVEST,Tata Investment Corporation Limited,2166515.872368
273,LALPATHLAB,Dr. Lal Path Labs Ltd.,2151808.591004
274,FIVESTAR,Five-Star Business Finance Limited,2147564.427855
275,ABFRL,Aditya Birla Fashion and Retail Limited,2123241.769653
276,BATAINDIA,Bata India Limited,2122503.79556
277,CARBORUNIV,Carborundum Universal Limited,2115887.590136
278,GILLETTE,Gillette India Limited,2112418.1550675
279,ATUL,Atul Limited,2111103.056755
280,PEL,Piramal Enterprises Limited,2092517.7018
281,SONATSOFTW,Sonata Software Limited,2082855.32084
282,KAJARIACER,Kajaria Ceramics Limited,2073065.2911
283,BRIGADE,Brigade Enterprises Limited,2070891.300865
284,ASTERDM,Aster DM Healthcare Limited,2047004.51988
285,PNBHOUSING,PNB Housing Finance Limited,2027460.797235
286,IDFC,IDFC Limited,2026380.288194
287,SUMICHEM,Sumitomo Chemical India Limited,2016798.346308
288,CROMPTON,Crompton Greaves Consumer Electricals Limited,1990365.773105
289,BSOFT,BIRLASOFT LIMITED,1988287.775133
290,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1952979.493531
291,PFIZER,Pfizer Limited,1952947.805214
292,BLUESTARCO,Blue Star Limited,1947172.04236
293,NAVINFLUOR,Navin Fluorine International Limited,1909454.80128
294,CDSL,Central Depository Services (India) Limited,1906498
295,SANOFI,Sanofi India Limited,1858006.9451610001
296,TRIDENT,Trident Limited,1849831.90821
297,MOTILALOFS,Motilal Oswal Financial Services Limited,1843042.148636
298,SUVENPHAR,Suven Pharmaceuticals Limited,1839995.5019679999
299,PPLPHARMA,Piramal Pharma Limited,1836913.478505
300,AFFLE,Affle (India) Limited,1830774.21466
301,VINATIORGA,Vinati Organics Limited,1791953.650725
302,TTML,Tata Teleservices (Maharashtra) Limited,1791691.2617954998
303,CIEINDIA,CIE Automotive India Limited,1785658.708539
304,COCHINSHIP,Cochin Shipyard Limited,1780991.110405
305,CASTROLIND,Castrol India Limited,1777947.48524
306,RRKABEL,R R Kabel Limited,1772834.010354
307,JYOTHYLAB,Jyothy Labs Limited,1758562.196116
308,CESC,CESC Limited,1756380.81975
309,BLUEDART,Blue Dart Express Limited,1746957.276783
310,WHIRLPOOL,Whirlpool of India Limited,1734147.608355
311,JBMA,JBM Auto Limited,1731374.521386
312,GSPL,Gujarat State Petronet Limited,1726486.81056
313,ELGIEQUIP,Elgi Equipments Limited,1725728.046628
314,CENTURYPLY,Century Plyboards (India) Limited,1715064.396305
315,RBLBANK,RBL Bank Limited,1683123.977766
316,CELLO,Cello World Limited,1670576.584131
317,KAYNES,Kaynes Technology India Limited,1668613.2547014998
318,RHIM,RHI MAGNESITA INDIA LIMITED,1662852.732865
319,CLEAN,Clean Science and Technology Limited,1645879.170495
320,FINCABLES,Finolex Cables Limited,1635151.0070675
321,INDIAMART,Indiamart Intermesh Limited,1632572.429412
322,INOXWIND,Inox Wind Limited,1628927.60876
323,PVRINOX,PVR INOX Limited,1628074.640613
324,IRCON,Ircon International Limited,1612043.97836
325,DCMSHRIRAM,DCM Shriram Limited,1603710.572064
326,SHYAMMETL,Shyam Metalics and Energy Limited,1601396.559264
327,APTUS,Aptus Value Housing Finance India Limited,1595309.4931975
328,CGCL,Capri Global Capital Limited,1587287.6236245001
329,KIMS,Krishna Institute of Medical Sciences Limited,1583909.960304
330,TVSHLTD,TVS Holdings Limited,1561989.241164
331,EIHOTEL,EIH Limited,1560283.63409
332,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1554120.119368
333,CONCORDBIO,Concord Biotech Limited,1539741.2904720001
334,FINEORG,Fine Organic Industries Limited,1526330.25522
335,KEC,KEC International Limited,1514764.67604
336,NSLNISP,NMDC Steel Limited,1506331.4069
337,IEX,Indian Energy Exchange Limited,1498043.7948
338,APLLTD,Alembic Pharmaceuticals Limited,1492700.363656
339,TEJASNET,Tejas Networks Limited,1478312.050683
340,NATCOPHARM,Natco Pharma Limited,1474211.4775110001
341,TANLA,Tanla Platforms Limited,1471864.85749
342,NBCC,NBCC (India) Limited,1467900
343,LAXMIMACH,Lakshmi Machine Works Limited,1467710.6625
344,MANAPPURAM,Manappuram Finance Limited,1455867.73388
345,WELCORP,Welspun Corp Limited,1434327.0849425
346,CHALET,Chalet Hotels Limited,1430471.4160079998
347,POLYMED,Poly Medicure Limited,1429474.751458
348,HONASA,Honasa Consumer Limited,1418264.333256
349,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,1405320.76908
350,WELSPUNLIV,Welspun Living Limited,1403777.3551379999
351,ASAHIINDIA,Asahi India Glass Limited,1401656.542146
352,GESHIP,The Great Eastern Shipping Company Limited,1394549.6286479998
353,ARE&M,Amara Raja Energy & Mobility Limited,1393830
354,ZENSARTECH,Zensar Technologies Limited,1383254.1015479998
355,REDINGTON,Redington Limited,1382072.33216
356,ASTRAZEN,AstraZeneca Pharma India Limited,1381650
357,NUVOCO,Nuvoco Vistas Corporation Limited,1366122.285225
358,BIKAJI,Bikaji Foods International Limited,1365905.32
359,CENTURYTEX,Century Textiles & Industries Limited,1365535.53584
360,HAPPSTMNDS,Happiest Minds Technologies Limited,1364458.4439655
361,HSCL,Himadri Speciality Chemical Limited,1363949.703435
362,KARURVYSYA,Karur Vysya Bank Limited,1355569.67946
363,J&KBANK,The Jammu & Kashmir Bank Limited,1354454.42949
364,ABSLAMC,Aditya Birla Sun Life AMC Limited,1352115.392103
365,SWANENERGY,Swan Energy Limited,1348615.87
366,SFL,Sheela Foam Limited,1348281.817764
367,TRITURBINE,Triveni Turbine Limited,1348274.9264894999
368,BASF,BASF India Limited,1327289.22214
369,JINDALSAW,Jindal Saw Limited,1317546.8390985
370,BLS,BLS International Services Limited,1315100.460152
371,JWL,Jupiter Wagons Limited,1315010.5169375
372,RKFORGE,Ramkrishna Forgings Limited,1311892.731003
373,FINPIPE,Finolex Industries Limited,1309206.26955
374,CAMS,Computer Age Management Services Limited,1302432.90444
375,ALKYLAMINE,Alkyl Amines Chemicals Limited,1296284.173695
376,GMDCLTD,Gujarat Mineral Development Corporation Limited,1294260
377,GET&D,GE T&D India Limited,1288810.2339225
378,FSL,Firstsource Solutions Limited,1288387.541861
379,WESTLIFE,WESTLIFE FOODWORLD LIMITED,1273764.5638025
380,ECLERX,eClerx Services Limited,1270541.22976
381,VGUARD,V-Guard Industries Limited,1267855.779501
382,NUVAMA,Nuvama Wealth Management Limited,1264325.2124685
383,MAHSEAMLES,Maharashtra Seamless Limited,1239962.0783819999
384,ERIS,Eris Lifesciences Limited,1237811.5568
385,AEGISCHEM,Aegis Logistics Limited,1235169
386,SIGNATURE,Signatureglobal (India) Limited,1232770.5474885001
387,JAIBALAJI,Jai Balaji Industries Limited,1222398.884241
388,AAVAS,Aavas Financiers Limited,1212567.4123875
389,RAINBOW,Rainbow Childrens Medicare Limited,1210965.8767535
390,HBLPOWER,HBL Power Systems Limited,1209678.744344
391,RITES,RITES Limited,1207276.680288
392,KSB,Ksb Limited,1206700.93187
393,HFCL,HFCL Limited,1202312.321298
394,SYRMA,Syrma SGS Technology Limited,1191595.89351
395,EQUITASBNK,Equitas Small Finance Bank Limited,1190616.18614
396,AKZOINDIA,Akzo Nobel India Limited,1187440.917393
397,MGL,Mahanagar Gas Limited,1185827.22489
398,BEML,BEML Limited,1178206.194
399,AETHER,Aether Industries Limited,1176118.5723289999
400,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,1169914.8890325
401,KPIL,Kalpataru Projects International Limited,1152068.109984
402,RAYMOND,Raymond Limited,1147165.2457265
403,INTELLECT,Intellect Design Arena Limited,1142934.5090639999
404,CRAFTSMAN,Craftsman Automation Limited,1142249.3134375
405,BAJAJELEC,Bajaj Electricals Limited,1137552.6014989999
406,ANURAS,Anupam Rasayan India Limited,1132118.2431039999
407,VTL,Vardhman Textiles Limited,1116648.4902
408,UJJIVANSFB,Ujjivan Small Finance Bank Limited,1113272.883926
409,BIRLACORPN,Birla Corporation Limited,1109608.5475965
410,GRINFRA,G R Infraprojects Limited,1106315.65242
411,OLECTRA,Olectra Greentech Limited,1105463.365916
412,CUB,City Union Bank Limited,1103552.97271
413,UTIAMC,UTI Asset Management Company Limited,1102147.25292
414,BBTC,Bombay Burmah Trading Corporation Limited,1098419.0217
415,GODFRYPHLP,Godfrey Phillips India Limited,1096473.78192
416,NEWGEN,Newgen Software Technologies Limited,1094659.2171225
417,RAILTEL,Railtel Corporation Of India Limited,1084771.81566
418,ANANDRATHI,Anand Rathi Wealth Limited,1082617.305179
419,RAJESHEXPO,Rajesh Exports Limited,1082275.3797145
420,GRAPHITE,Graphite India Limited,1074956.518188
421,GODREJAGRO,Godrej Agrovet Limited,1071479.450219
422,ZYDUSWELL,Zydus Wellness Limited,1069719.972784
423,GPIL,Godawari Power And Ispat limited,1066742.141678
424,ALOKINDS,Alok Industries Limited,1060078.8256135
425,IBULHSGFIN,Indiabulls Housing Finance Limited,1059353.0036475
426,JKLAKSHMI,JK Lakshmi Cement Limited,1058324.573604
427,AMBER,Amber Enterprises India Limited,1056433.241774
428,RTNINDIA,RattanIndia Enterprises Limited,1053980.5639
429,SPLPETRO,Supreme Petrochem Limited,1052279.349832
430,MAPMYINDIA,C.E. Info Systems Limited,1051346.9285880001
431,NCC,NCC Limited,1046934.18549
432,DATAPATTNS,Data Patterns (India) Limited,1041973.631028
433,ELECON,Elecon Engineering Company Limited,1040037.5755675
434,CHENNPETRO,Chennai Petroleum Corporation Limited,1036423.344
435,CANFINHOME,Can Fin Homes Limited,1035473.0530625
436,CAPLIPOINT,Caplin Point Laboratories Limited,1029870.4268789999
437,TTKPRESTIG,TTK Prestige Limited,1027545.73026
438,PRAJIND,Praj Industries Limited,1021444.76928
439,CERA,Cera Sanitaryware Limited,1020609.950402
440,SWSOLAR,Sterling and Wilson Renewable Energy Limited,1007275.3547695
441,RENUKA,Shree Renuka Sugars Limited,1003582.9279695
442,ROUTE,ROUTE MOBILE LIMITED,1001028.507036
443,GRSE,Garden Reach Shipbuilders & Engineers Limited,1000325.34
444,EIDPARRY,EID Parry India Limited,988595.464279
445,ACE,Action Construction Equipment Limited,987378.319634
446,GALAXYSURF,Galaxy Surfactants Limited,984135.27864
447,INGERRAND,Ingersoll Rand (India) Limited,983106.44
448,GRANULES,Granules India Limited,982683.959022
449,CEATLTD,CEAT Limited,981723.73284
450,JKTYRE,JK Tyre & Industries Limited,980737.59504
451,SCHNEIDER,Schneider Electric Infrastructure Limited,978413.71122
452,HAPPYFORGE,Happy Forgings Limited,969603.747985
453,ENGINERSIN,Engineers India Limited,963621.6485085001
454,GSFC,Gujarat State Fertilizers & Chemicals Limited,961924.75742
455,ANANTRAJ,Anant Raj Limited,956408.284585
456,JPPOWER,Jaiprakash Power Ventures Limited,956057.5063664999
457,SBFC,SBFC Finance Limited,955656.812688
458,KIRLOSENG,Kirloskar Oil Engines Limited,949669.798663
459,LEMONTREE,Lemon Tree Hotels Limited,949507.387104
460,PCBL,PCBL LIMITED,949507.180362
461,JMFINANCIL,JM Financial Limited,938913.755424
462,LATENTVIEW,Latent View Analytics Limited,936965.9290255001
463,SOBHA,Sobha Limited,934895.573021
464,SPARC,Sun Pharma Advanced Research Company Limited,930664.7323439999
465,SAFARI,Safari Industries (India) Limited,928202.8303889999
466,PRSMJOHNSN,Prism Johnson Limited,924917.71575
467,MINDACORP,Minda Corporation Limited,923444.29065
468,NETWORK18,Network18 Media & Investments Limited,914509.5313464999
469,ESABINDIA,Esab India Limited,905378.95385
470,SAPPHIRE,Sapphire Foods India Limited,905096.1883410001
471,USHAMART,Usha Martin Limited,903407.00681
472,PNCINFRA,PNC Infratech Limited,901606.8953925
473,MMTC,MMTC Limited,897000
474,MEDPLUS,Medplus Health Services Limited,896036.296155
475,SARDAEN,Sarda Energy & Minerals Limited,892405.566275
476,RPOWER,Reliance Power Limited,888005.6310780001
477,RCF,Rashtriya Chemicals and Fertilizers Limited,879942.5195
478,TVSSCS,TVS Supply Chain Solutions Limited,870856.1070719999
479,JUBLPHARMA,Jubilant Pharmova Limited,868798.9726755001
480,TV18BRDCST,TV18 Broadcast Limited,865751.881305
481,BALAMINES,Balaji Amines Limited,864620.685
482,MASTEK,Mastek Limited,863585.778144
483,TECHNOE,Techno Electric & Engineering Company Limited,860790.7234715
